Code_Diplome;Intitulé diplôme (DEPP);Code_RNCP;Niveau fiche RNCP;Abrégé de diplôme (RNCP);Dernière MaJ;Accès à l'apprentissage de la fiche RNCP (oui/non);Date d'échéance de la fiche RNCP;Fiche ACTIVE/INACTIVE
13531247;MARKETING, VENTE (MASTER CNAM);RNCP35907;Niveau 7;MASTER;v2.1;oui;31/08/2026;ACTIVE
25025403;METIERS DE L'INDUSTRIE : METALLURGIE, MISE EN FORME DES MATERIAUX ET SOUDAGE (LP BREST);RNCP30132;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
1351281W;DROIT FISCAL (MASTER);RNCP38197;Niveau 7;MASTER;CI-27112023;oui;31/12/2028;ACTIVE
26X31027;RESPONSABLE MARKETING DIGITAL ET PUBLICITE EN LIGNE (OREEGAMI);RNCP35857;Niveau 6;;v3.0;oui;15/09/2024;ACTIVE
36X32402;ASSISTANT ET ATTACHE DE DIRECTION (LA COMPAGNIE DE FORMATION);RNCP37345;Niveau 5;;v2.9;oui;17/02/2026;ACTIVE
40031113;CONDUITE ET GESTION DES ENTREPRISES MARITIMES - COMMERCE/PLAISANCE PROFESSIONNELLE OPTION YACHT (BAC PRO);RNCP2841;Niveau 4;BAC PRO;v1.0;oui;01/01/2025;ACTIVE
46X33201;ACCUEILLANT EDUCATIF (SOGEFCO);RNCP32152;Niveau 4;;v1.3;oui;04/01/2022;INACTIVE
50022142;PRODUCTION ET SERVICE EN RESTAURATION (RAPIDE, COLLECTIVE, CAFETERIA) (CAP);RNCP35317;Niveau 3;CAP;v1.6;oui;31/08/2026;ACTIVE
2503263G;METIERS DE L'INFORMATIQUE : CONCEPTION, DEVELOPPEMENT ET TEST DE LOGICIELS (LP);RNCP29966;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25011814;BIO-INDUSTRIES ET BIOTECHNOLOGIES (LP NANTES);RNCP30047;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
26U32601;TECHNICIEN EN MAINTENANCE INFORMATIQUE ET RESEAUX (DU UNIVERSITE DE LILLE);RNCP36932;Niveau 5;;v2.8;oui;29/09/2024;ACTIVE
1353103C;MANAGEMENT ET ADMINISTRATION DES ENTREPRISES (MASTER STRASBOURG);RNCP35917;Niveau 7;MASTER;v2.1;oui;31/08/2026;ACTIVE
25031422;METIERS DE LA GESTION ET DE LA COMPTABILITE : COMPTABILITE ET PAIE (LP LORRAINE);RNCP30106;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
13511517;PHYSIQUE FONDAMENTALE ET APPLICATIONS (MASTER);RNCP31808;Niveau 7;MASTER;v1.0;oui;01/01/2025;ACTIVE
13532040;CULTURE ET COMMUNICATION (MASTER);RNCP34836;Niveau 7;MASTER;v1.5;oui;30/06/2025;ACTIVE
2502002A;ACOUSTIQUE ET VIBRATIONS (LP);RNCP29497;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
17021013;INGENIEUR DIPLOME DE L'INSTITUT NATIONAL SUPERIEUR DES SCIENCES AGRONOMIQUES, DE L'ALIMENTATION ET DE L'ENVIRONNEMENT, SPECIALITE AGROALIMENTAIRE;RNCP11362;Niveau 7;Titre ingénieur;v1.0;oui;01/01/2025;ACTIVE
17020038;INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE DES INGENIEURS EN ARTS CHIMIQUES ET TECHNOLOGIQUES, DE L'INSTITUT NATIONAL POLYTECHNIQUE DE TOULOUSE SPECIALITE GENIE INDUSTRIEL;RNCP37728;Niveau 7;Titre ingénieur;CI-09112023;oui;31/08/2026;ACTIVE
56033206;ACCOMPAGNANT EDUCATIF ET SOCIAL SPECIALITE ACCOMPAGNEMENT A L'EDUCATION INCLUSIVE ET A LA VIE ORDINAIRE (DIPLOME D'ETAT);RNCP36004;Niveau 3;DE;v2.2;oui;01/09/2026;ACTIVE
46433403;CUISINIER GESTIONNAIRE DE RESTAURATION COLLECTIVE (UNMFREO);RNCP36638;Niveau 4;;v2.7;oui;01/07/2024;ACTIVE
35011807;GENIE BIOLOGIQUE OPTION INDUSTRIES AGROALIMENTAIRES ET BIOLOGIQUES (DUT);RNCP2921;Niveau 5;DUT;v1.0;oui;01/01/2024;ACTIVE
25033417;ORGANISATION ET GESTION DES ETABLISSEMENTS HOTELIERS ET DE RESTAURATION (LP EVRY);RNCP29985;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
16X32677;CONSULTANT EN ASSISTANT A MAITRISE D'OUVRAGE INFORMATIQUE (AMOA) (EQL);RNCP35269;Niveau 7;;v2.9;oui;10/02/2026;ACTIVE
13512305;DEMOGRAPHIE (MASTER);RNCP28462;Niveau 7;MASTER;CI-30112023;oui;01/01/2025;ACTIVE
32034303;ENVIRONNEMENT NUCLEAIRE (BTS);RNCP12766;Niveau 5;BTS;v1.4;oui;01/01/2025;ACTIVE
40023005;TECHNICIEN D'ETUDES DU BATIMENT OPTION B : ASSISTANT EN ARCHITECTURE (BAC PRO);RNCP38317;Niveau 4;BAC PRO;CI-30112023;oui;31/08/2024;ACTIVE
36X23301;CONCEPTEUR D' ESPACES INTERIEURS (DAC ITECOM NICE);RNCP26153;Niveau 5;;v1.0;non;04/01/2020;INACTIVE
16X31245;MANAGER DE LA COMMUNICATION MARKETING INTEGREE (FORMATIVES);RNCP36731;Niveau 7;;v2.7;oui;20/07/2024;ACTIVE
32032331;METIERS DE L'AUDIOVISUEL OPTION TECHNIQUES D'INGENIERIE ET EXPLOITATION DES EQUIPEMENTS (BTS);RNCP37022;Niveau 5;BTS;v2.8;oui;31/08/2027;ACTIVE
13512308;SOCIOLOGIE (MASTER PARIS SACLAY);RNCP31499;Niveau 7;MASTER;v1.0;oui;01/01/2025;ACTIVE
36C3120V;GESTIONNAIRE D'UNITE COMMERCIALE (CCI FRANCE);RNCP36141;Niveau 5;;v2.3;oui;26/01/2027;ACTIVE
20533511;SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES : ENTRAINEMENT SPORTIF (LIC LMD);RNCP35946;Niveau 6;LICENCE;v2.1;oui;31/08/2026;ACTIVE
50031213;FLEURISTE EN FLEURS ARTIFICIELLES (CAP DEPARTEMENTAL);RNCP37966;Niveau 3;CAP;CI-30112023;oui;31/08/2024;ACTIVE
32321014;ANALYSE, CONDUITE ET STRATEGIE DE L'ENTREPRISE AGRICOLE (ACSE) (BTSA);RNCP24440;Niveau 5;BTSA;v1.0;oui;01/01/2025;ACTIVE
16X32652;EXPERT EN INGENIERIE ET ORGANISATION DES SYSTEMES D'INFORMATION (IRIS);RNCP35560;Niveau 7;;v1.8;oui;19/04/2023;INACTIVE
46Q31103;AGENT D'ESCALE FERROVIAIRE (SNCF MOBILITES);RNCP37756;Niveau 4;;CI-09112023;oui;19/07/2026;ACTIVE
25122203;CHIMIE : MATERIAUX ET PRODUITS FORMULES (BUT);RNCP35496;Niveau 6;BUT;v1.7;oui;31/08/2026;ACTIVE
50032228;ARTS DE LA RELIURE (CAP);RNCP37539;Niveau 3;CAP;v1.0;oui;31/08/2028;ACTIVE
32033002;SERVICES ET PRESTATIONS DES SECTEURS SANITAIRE ET SOCIAL (BTS);RNCP36939;Niveau 5;BTS;v2.8;oui;31/08/2027;ACTIVE
46X25502;CONSEILLER(E) SERVICES EN ELECTRODOMESTIQUE ET MULTIMEDIA (RESEAU DECRETE ACTIF CNT);RNCP37265;Niveau 4;;v2.9;oui;25/01/2026;ACTIVE
50031214;EMPLOYE DE COMMERCE MULTI-SPECIALITES (CAP);RNCP34947;Niveau 3;CAP;v1.3;oui;31/08/2025;ACTIVE
36X21103;ZYTHOLOGUE (IFCO);RNCP36878;Niveau 5;;v2.8;oui;29/09/2024;ACTIVE
16X31223;MANAGER DU MARKETING ET DE LA COMMUNICATION (ISIMI - PPA);RNCP16651;Niveau 7;;v1.0;oui;30/12/2019;INACTIVE
2503261R;METIERS DE L'INFORMATIQUE : CONCEPTION, DEVELOPPEMENT ET TEST DE LOGICIELS (LP GRENOBLE ALPES);RNCP29966;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
13531268;MARKETING, VENTE (MASTER ROUEN);RNCP35907;Niveau 7;MASTER;v2.1;oui;31/08/2026;ACTIVE
32025008;MAINTENANCE DES SYSTEMES OPTION B SYSTEMES ENERGETIQUES ET FLUIDIQUES (BTS);RNCP36968;Niveau 5;BTS;v2.8;oui;31/08/2027;ACTIVE
25022008;COMMERCIALISATION DES PRODUITS ALIMENTAIRES (LP AMIENS);RNCP30055;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
16C3340B;MANAGER EN HOTELERIE INTERNATIONALE (GROUPE ESSEC);RNCP37433;Niveau 7;;v1.0;oui;27/03/2026;ACTIVE
20513118;LETTRES (LIC LMD CAEN);RNCP24481;Niveau 6;LICENCE;v1.0;oui;01/01/2025;ACTIVE
36321004;RESPONSABLE TECHNICO COMMERCIAL  EN AGROEQUIPEMENT;RNCP2286;Niveau 5;CS;v1.0;oui;01/01/2025;ACTIVE
16X32647;EXPERT EN DEVELOPPEMENT DE LOGICIEL (OPENCLASSROOMS);RNCP36912;Niveau 7;;v2.8;oui;29/09/2025;ACTIVE
25031540;METIERS DE LA GRH : FORMATION, COMPETENCES ET EMPLOI (LP AIX MARSEILLE);RNCP29805;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
32032614;SERVICES INFORMATIQUES AUX ORGANISATIONS OPTION B SOLUTIONS LOGICIELLES ET APPLICATIONS METIERS (BTS);RNCP35340;Niveau 5;BTS;v1.6;oui;31/08/2025;ACTIVE
56T33404;AGENT DE LOISIRS (TP);RNCP229;Niveau 3;TP;v1.9;oui;01/08/2023;INACTIVE
13534326;DROIT, ECONOMIE, GESTION : RISQUES ET ENVIRONNEMENT (MASTER MONTPELLIER);RNCP34070;Niveau 7;MASTER;v1.1;oui;31/08/2024;ACTIVE
26X31503;RESPONSABLE RESSOURCES HUMAINES (CESI);RNCP37177;Niveau 6;;v2.9;oui;14/12/2027;ACTIVE
1701150A;INGENIEUR DIPLOME DE L'INSTITUT D'OPTIQUE THEORIQUE ET APPLIQUEE;RNCP16833;Niveau 7;Titre ingénieur;v1.0;oui;01/01/2025;ACTIVE
16X32034;DIRECTEUR ARTISTIQUEPLURIMEDIA (AGR ECOLE DE L'IMAGE);RNCP36738;Niveau 7;;CI-09112023;oui;20/07/2027;ACTIVE
1353101A;MANAGEMENT (MASTER MONTPELLIER);RNCP35917;Niveau 7;MASTER;v2.1;oui;31/08/2026;ACTIVE
25031010;MANAGEMENT ET GESTION DES ORGANISATIONS (LP PAU);RNCP30086;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
46125302;AERONAUTIQUE OPTION AVIONS A MOTEURS A PISTONS (CS4);RNCP37924;Niveau 4;MC4;CI-30112023;oui;31/08/2028;ACTIVE
16X32671;ARCHITECTE DES SYSTEMES D'INFORMATION DANS LES PROCESSUS INDUSTRIELS (HEXAGONE);RNCP37178;Niveau 7;;v2.9;oui;14/12/2025;ACTIVE
25031124;LOGISTIQUE ET TRANSPORTS INTERNATIONAUX (LP LORRAINE);RNCP29990;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
13531109;GESTION DE PRODUCTION, LOGISTIQUE, ACHATS (MASTER LYON 3);RNCP35921;Niveau 7;MASTER;v2.1;oui;31/08/2026;ACTIVE
25031336;ASSURANCE, BANQUE, FINANCE : CHARGE DE CLIENTELE (LP LILLE 2);RNCP30181;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
16X31014;BUSINESS ANALYSTE (CCI PARIS ILE DE FRANCE - ITESCIA);RNCP37000;Niveau 7;;v2.8;oui;24/10/2025;ACTIVE
25032632;METIERS DE L'INFORMATIQUE : CONCEPTION, DEVELOPPEMENT ET TEST DE LOGICIELS (LP PARIS 11);RNCP29966;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
26X31253;CHEF DE PROJET MARKETING ET COMMERCE DES VINS ET SPIRITUEUX (INSTITUT SUPERIEUR DU VIN);RNCP37168;Niveau 6;;v2.9;oui;14/12/2024;ACTIVE
17020106;INGENIEUR DIPLOME DE L'ECOLE SUPERIEURE DES TECHNIQUES AERONAUTIQUES ET DE CONSTRUCTION AUTOMOBILE, SPECIALITE SYSTEMES EMBARQUES ET NUMERIQUES;RNCP35784;Niveau 7;Titre ingénieur;v2.1;oui;31/08/2024;ACTIVE
25022755;MAITRISE DE L'ENERGIE, ELECTRICITE, DEVELOPPEMENT DURABLE (LP CLERMONT AUVERGNE);RNCP30094;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
13531111;GESTION DE PRODUCTION, LOGISTIQUE, ACHATS (MASTER STRASBOURG);RNCP35921;Niveau 7;MASTER;v2.1;oui;31/08/2026;ACTIVE
25034104;DEVELOPPEMENT DE PROJETS DE TERRITOIRES (LP CNAM);RNCP30059;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25031221;TECHNICO-COMMERCIAL (LP CERGY);RNCP30163;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25120101;GENIE ELECTRIQUE ET INFORMATIQUE INDUSTRIELLE : AUTOMATISME ET INFORMATIQUE INDUSTRIELLE (BUT);RNCP35408;Niveau 6;BUT;v1.7;oui;31/08/2026;ACTIVE
25021208;PRODUCTIONS ANIMALES (LP ROUEN);RNCP30159;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
46X23301;METREUR (EUSE) PEINTURE FINITION (GPPF FORMATION);RNCP26812;Niveau 4;;v1.1;non;30/01/2020;INACTIVE
13532009;METIERS DU LIVRE ET DE L'EDITION (MASTER CERGY);RNCP34100;Niveau 7;MASTER;v1.0;oui;31/08/2024;ACTIVE
25020126;METIERS DE L'INDUSTRIE : MECATRONIQUE, ROBOTIQUE (LP BESANCON);RNCP30131;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25033003;MANAGEMENT ET GESTION DES ORGANISATIONS (LP CNAM);RNCP30086;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
13512109;GEOGRAPHIE (MASTER);RNCP34831;Niveau 7;MASTER;v1.4;oui;30/06/2025;ACTIVE
16031205;DIPLOME D'INGENIEUR D'AFFAIRES DE L'ESCT DE TOULON;RNCP1636;Niveau 7;;v1.0;oui;24/10/2011;INACTIVE
46125303;AERONAUTIQUE OPTION HELICOPTERES A MOTEURS A TURBINES (CS4);RNCP37924;Niveau 4;MC4;CI-30112023;oui;31/08/2028;ACTIVE
17022107;INGENIEUR DIPLOME DE L'ECOLE SUPERIEURE D'INGENIEURS EN AGROALIMENTAIRE DE BRETAGNE ATLANTIQUE DE L'UNIVERSITE DE BREST, SPECIALITE AGROALIMENTAIRE;RNCP35789;Niveau 7;Titre ingénieur;v2.3;oui;31/07/2026;ACTIVE
2503120G;TECHNICO-COMMERCIAL (LP PARIS 12);RNCP30163;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
17025521;INGENIEUR DIPLOME DE L'ECOLE SUPERIEURE DE CHIMIE, PHYSIQUE, ELECTRONIQUE DE LYON, SPECIALITE GENIE PHYSIQUE MICROELECTRONIQUE;RNCP37952;Niveau 7;Titre ingénieur;CI-09112023;oui;31/08/2026;ACTIVE
46C33402;RECEPTIONNISTE POLYVALENT EN HOTELLERIE (CCI FRANCE);RNCP32362;Niveau 4;;v1.1;oui;21/04/2021;INACTIVE
25031358;ACTIVITES JURIDIQUES : METIERS DU DROIT DE L'IMMOBILIER (LP LIMOGES);RNCP30038;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
35031103;PACKAGING EMBALLAGE ET CONDITIONNEMENT (DUT);RNCP20660;Niveau 5;DUT;v1.0;oui;01/01/2024;ACTIVE
1351281F;DROIT PUBLIC (MASTER BORDEAUX);RNCP34084;Niveau 7;MASTER;v1.0;oui;31/08/2024;ACTIVE
25020146;SYSTEMES AUTOMATISES, RESEAUX ET INFORMATIQUE INDUSTRIELLE (LP BORDEAUX);RNCP29972;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
35532402;BUREAUTIQUE ET MULTIMEDIA (DEUST);RNCP36837;Niveau 5;DEUST;v2.8;oui;31/08/2027;ACTIVE
25132101;INFORMATION-COMMUNICATION : JOURNALISME (BUT);RNCP35363;Niveau 6;BUT;v1.7;oui;31/08/2026;ACTIVE
25031324;ASSURANCE, BANQUE, FINANCE : CHARGE DE CLIENTELE (LP LORRAINE);RNCP30181;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
46125304;AERONAUTIQUE OPTION HELICOPTERES A MOTEURS A PISTONS (CS4);RNCP37924;Niveau 4;MC4;CI-30112023;oui;31/08/2028;ACTIVE
13531427;COMPTABILITE - CONTROLE - AUDIT (MASTER MONTPELLIER);RNCP35991;Niveau 7;MASTER;v2.1;oui;31/08/2026;ACTIVE
17021010;INGENIEUR DIPLOME DE L'INSTITUT D'ENSEIGNEMENT SUPERIEUR ET DE RECHERCHE EN ALIMENTATION, SANTE ANIMALE, SCIENCES AGRONOMIQUES ET DE L'ENVIRONNEMENT ( VETAGRO SUP);RNCP38328;Niveau 7;Titre ingénieur;CI-01122023;oui;31/08/2026;ACTIVE
32025215;MAINTENANCE DES VEHICULES OPTION A VOITURES PARTICULIERES (BTS);RNCP38367;Niveau 5;BTS;CI-13122023;oui;31/12/2026;ACTIVE
56T23403;CONSTRUCTEUR BOIS (TP);RNCP35507;Niveau 3;TP;v1.6;oui;26/04/2026;ACTIVE
32033204;ECONOMIE SOCIALE ET FAMILIALE (BTS);RNCP36938;Niveau 5;BTS;v2.8;oui;31/07/2027;ACTIVE
13512887;SCIENCE POLITIQUE (MASTER MONTPELLIER);RNCP31506;Niveau 7;MASTER;v1.0;oui;01/01/2024;ACTIVE
46X33502;MONITEUR SPORTIF DE NATATION (FFN);RNCP34061;Niveau 4;;v1.1;oui;05/07/2024;ACTIVE
50031215;EMPLOYE DE VENTE SPECIALISE OPTION A : PRODUITS ALIMENTAIRES (CAP);RNCP34947;Niveau 3;CAP;v1.3;oui;31/08/2025;ACTIVE
36T25101;TECHNICIEN SUPERIEUR METHODES PRODUIT PROCESS (TP);RNCP34149;Niveau 5;TP;v1.3;oui;29/06/2024;ACTIVE
13533311;METIERS DE L'ENSEIGNEMENT, DE L'EDUCATION ET DE LA FORMATION (MEEF), 1ER DEGRE;RNCP38155;Niveau 7;MASTER;CI-27112023;oui;01/09/2028;ACTIVE
35534001;GUIDE NATURE MULTILINGUE (DEUST LILLE);RNCP2917;Niveau 5;DEUST;v1.3;non;01/01/2025;ACTIVE
25025108;METIERS DE L'INDUSTRIE : CONCEPTION DE PRODUITS INDUSTRIELS (LP EVRY);RNCP30125;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25032652;METIERS DES RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS (LP AIX MARSEILLE);RNCP29968;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
50333003;SERVICES AUX PERSONNES ET VENTE EN ESPACE RURAL (CAPA);RNCP25085;Niveau 3;CAPA;v1.0;oui;01/01/2025;ACTIVE
25022114;VALORISATION DES AGRO-RESSOURCES (LP PAU);RNCP32229;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
16X32680;DATA ENGINEER (IEF2I);RNCP37422;Niveau 7;;v3.0;oui;27/03/2026;ACTIVE
13513402;DESIGN (MASTER);RNCP34439;Niveau 7;MASTER;v1.0;oui;31/08/2024;ACTIVE
46125305;AERONAUTIQUE OPTION AVIONIQUE (CS4);RNCP37924;Niveau 4;MC4;CI-30112023;oui;31/08/2028;ACTIVE
25031062;METIERS DU DECISIONNEL ET DE LA STATISTIQUE (LP EVRY);RNCP29969;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
13512303;INFORMATION, COMMUNICATION (MASTER CORSE);RNCP31496;Niveau 7;MASTER;v1.0;oui;01/01/2024;ACTIVE
1351281Y;DROIT DE LA SANTE (MASTER);RNCP38194;Niveau 7;MASTER;CI-27112023;oui;31/12/2028;ACTIVE
50034301;AGENT DE LA QUALITE DE L'EAU (CAP);RNCP508;Niveau 3;CAP;v1.0;oui;01/01/2025;ACTIVE
17032624;INGENIEUR DIPLOME DE L'INSTITUT NATIONAL DES SCIENCES APPLIQUEES CENTRE VAL DE LOIRE, SPECIALITE SECURITE INFORMATIQUE;RNCP25759;Niveau 7;Titre ingénieur;v1.3;oui;01/01/2025;ACTIVE
26X32312;RESPONSABLE DE PRODUCTIONS AUDIOVISUELLES (BDE MBA ESG);RNCP31173;Niveau 6;;v1.2;oui;07/08/2023;INACTIVE
25025529;METIERS DE L'ELECTRONIQUE : COMMUNICATION, SYSTEMES EMBARQUES (LP GRENOBLE ALPES);RNCP29962;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25031125;MANAGEMENT DES PROCESSUS LOGISTIQUES (LP MONTPELLIER);RNCP29992;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
32020112;SYSTEMES NUMERIQUES OPTION A : INFORMATIQUE ET RESEAUX (BTS);RNCP35341;Niveau 5;BTS;v1.6;oui;31/08/2023;INACTIVE
16531237;DIPLOME DE L'INSTITUT SUPERIEUR DU COMMERCE DE PARIS - PGE;RNCP36686;Niveau 7;DipViGrM;v2.7;oui;31/08/2026;ACTIVE
55322103;TRANSFORMATIONS ALIMENTAIRES TRANSFORMATION DES PRODUITS ALIMENTAIRES (BPA5);RNCP7580;Niveau 3;BPA;v1.0;oui;01/01/2025;ACTIVE
56T25302;CHAUDRONNIER FORMEUR AERONAUTIQUE (TP);RNCP34078;Niveau 7;MASTER;v2.7;oui;31/08/2024;ACTIVE
26X31023;RESPONSABLE D'UNITE OPERATIONNELLE (ASCENCIA);RNCP34976;Niveau 6;;v1.5;oui;14/10/2022;INACTIVE
36033206;EDUCATEUR SPECIALISE (DIPLOME D'ETAT);RNCP37676;Niveau 6;DE;v1.3;oui;31/08/2026;ACTIVE
25025501;METIERS DE L'ELECTRICITE ET DE L'ENERGIE (LP LYON 3);RNCP30117;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25133102;GENIE BIOLOGIQUE : DIETETIQUE ET NUTRITION (BUT);RNCP35366;Niveau 6;BUT;v1.7;oui;31/08/2026;ACTIVE
25031086;MANAGEMENT ET GESTION DES ORGANISATIONS (LP PARIS EST CRETEIL);RNCP30086;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25031543;METIERS DE LA GRH : ASSISTANT (LP AMIENS);RNCP29806;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25031395;ASSURANCE, BANQUE, FINANCE : CHARGE DE CLIENTELE (LP);RNCP30181;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
17020047;INGENIEUR DIPLOME DE L'ECOLE SUPERIEURE D'INGENIEURS DE RECHERCHE EN MATERIAUX DE L'UNIVERSITE DE DIJON, SPECIALITE INFORMATIQUE ET ELECTRONIQUE;RNCP4153;Niveau 7;Titre ingénieur;v1.3;non;31/08/2023;INACTIVE
25031022;MANAGEMENT ET GESTION DES ORGANISATIONS (LP LYON 1);RNCP30086;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25031294;COMMERCE ET DISTRIBUTION (LP ARTOIS);RNCP29740;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
13531320;MONNAIE, BANQUE, FINANCE, ASSURANCE (MASTER REIMS);RNCP34034;Niveau 7;MASTER;v1.0;oui;31/08/2024;ACTIVE
13512833;DROIT DE L'ENVIRONNEMENT ET DE L'URBANISME (MASTER PERPIGNAN);RNCP34080;Niveau 7;MASTER;v1.0;oui;31/08/2024;ACTIVE
35022213;GENIE CHIMIQUE, GENIE DES PROCEDES OPTION BIO-PROCEDES (DUT);RNCP2467;Niveau 5;DUT;v1.0;oui;01/01/2024;ACTIVE
46X32408;SECRETAIRE TECHNIQUE (UNAPL);RNCP19175;Niveau 4;;v1.3;oui;07/08/2023;INACTIVE
46X33402;SOMMELIER - CAVISTE (FRANCK THOMAS FORMATION);RNCP35867;Niveau 4;;v2.1;oui;15/09/2024;ACTIVE
46T31203;VENDEUR CONSEIL EN MAGASIN (TP);RNCP37098;Niveau 4;TP;v2.9;oui;25/01/2028;ACTIVE
46011201;OPERATEUR EN BIOTECHNOLOGIES CHIMIE VERTE (DSP UNIVERSITE DE REIMS CHAMPAGNE ARDENNES);RNCP37220;Niveau 4;DSP;v3.0;oui;31/08/2028;ACTIVE
25111401;STATISTIQUE ET INFORMATIQUE DECISIONNELLE : SCIENCE DES DONNEES / EXPLORATION ET MODELISATION STATISTIQUE (BUT);RNCP35401;Niveau 6;BUT;v1.7;oui;31/08/2026;ACTIVE
26X32053;LEAD INFOGRAPHISTE 3D CINEMA (OBJECTIF 3D);RNCP32064;Niveau 6;;v2.0;oui;04/01/2022;INACTIVE
25023008;METIERS DU BTP : PERFORMANCE ENERGETIQUE ET ENVIRONNEMENTALE DES BATIMENTS (LP BREST);RNCP30143;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
17025516;INGENIEUR DIPLOME DE L'ECOLE POLYTECHNIQUE UNIVERSITAIRE DE L'UNIVERSITE DE NANTES, SPECIALITE GENIE ELECTRIQUE;RNCP17000;Niveau 7;Titre ingénieur;v1.0;oui;01/01/2025;ACTIVE
2502001Y;MAINTENANCE ET TECHNOLOGIE : SYSTEMES PLURITECHNIQUES (LP);RNCP30092;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25022272;CHIME ANALYTIQUE, CONTROLE, QUALITE, ENVIRONNEMENT (LP TOULOUSE 3);RNCP30051;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
20533508;SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES (LIC LMD REIMS);RNCP35946;Niveau 6;LICENCE;v2.1;oui;31/08/2026;ACTIVE
20532619;INFORMATIQUE ET APPLICATIONS (LIC LMD);NR;NR;NR;v3.0;NR;;INACTIVE
25022725;MAITRISE DE L'ENERGIE, ELECTRICITE, DEVELOPPEMENT DURABLE (LP TROYES);RNCP30094;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
56T25407;PEINTRE EN CARROSSERIE (TP);RNCP34290;Niveau 3;TP;v1.3;oui;08/10/2024;ACTIVE
36T32402;ASSISTANT COMMERCIAL (TP);RNCP35031;Niveau 5;TP;v1.0;oui;29/10/2025;ACTIVE
16X32039;MANAGER EN STRATEGIE CREATIVE / PRODUCER (ISART DIGITAL);RNCP37646;Niveau 7;;CI-09112023;oui;31/05/2028;ACTIVE
36X31210;ASSISTANT IMPORT-EXPORT (IFOCOP);RNCP35747;Niveau 5;;v2.1;oui;08/07/2026;ACTIVE
16X32678;SPECIALISTE EN MAITRISE D'OUVRAGE DES SI (CEFISI);RNCP34561;Niveau 7;;v2.9;oui;24/04/2025;ACTIVE
2502001C;METIERS DE L'INDUSTRIE : GESTION DE LA PRODUCTION INDUSTRIELLE (LP BESANCON);RNCP30128;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
